2024-01-29 20:31:24 - INFO  - 78 https://www.amazon.com/Neutrogena-Ultra-Dry-Touch-Sunscreen-Spectrum/dp/B005IHT94S/
2024-01-29 20:31:30 - INFO  - Ingredients section found...
2024-01-29 20:31:35 - INFO  - Ingredients added to excel file...
2024-01-29 20:31:35 - INFO  - 79 https://www.amazon.com/Organic-Lavender-Grapeseed-Vitamin-Moisturizer/dp/B01B12KCGC/
2024-01-29 20:31:43 - INFO  - Ingredients section found...
2024-01-29 20:31:47 - INFO  - Ingredients added to excel file...
2024-01-29 20:31:47 - INFO  - 80 https://www.amazon.com/Moroccanoil-Hair-Treatment-Bottle-types/dp/B001AO0WCG/
2024-01-29 20:31:53 - INFO  - 81 https://www.amazon.com/MSQ-Separator-Applicator-Designed-Cosmetic/dp/B07GGR2LY1/
2024-01-29 20:32:01 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:32:02 - INFO  - 82 https://www.amazon.com/MEDIHEAL-Madecassoside-Blemish-Pad-Centella/dp/B0BHVBVRYY/
2024-01-29 20:32:09 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:32:10 - INFO  - 83 https://www.amazon.com/NIVEA-Men-Maximum-Hydration-Body/dp/B00OQ1ZKO0/
2024-01-29 20:32:18 - INFO  - Ingredients section found...
2024-01-29 20:32:23 - INFO  - Ingredients added to excel file...
2024-01-29 20:32:23 - INFO  - 84 https://www.amazon.com/Cetaphil-Moisturizer-Sunscreen-Sensitive-Combination/dp/B08LR42YZG/
2024-01-29 20:32:31 - INFO  - Ingredients section found...
2024-01-29 20:32:37 - INFO  - Ingredients added to excel file...
2024-01-29 20:32:37 - INFO  - 85 https://www.amazon.com/DHC-Deep-Cleansing-Oil-6-7/dp/B001UE60E0/
2024-01-29 20:32:44 - INFO  - Ingredients section found...
2024-01-29 20:32:49 - INFO  - Ingredients added to excel file...
2024-01-29 20:32:49 - INFO  - 86 https://www.amazon.com/Neutrogena-Wrinkle-Anti-Wrinkle-Retinol-Hyaluronic/dp/B004D24818/
2024-01-29 20:32:57 - INFO  - Ingredients section found...
2024-01-29 20:33:02 - INFO  - Ingredients added to excel file...
2024-01-29 20:33:02 - INFO  - 87 https://www.amazon.com/Cetaphil-Gentle-Makeup-Removing-Wipes/dp/B01M4NFD2N/
2024-01-29 20:33:09 - INFO  - Ingredients section found...
2024-01-29 20:33:15 - INFO  - Ingredients added to excel file...
2024-01-29 20:33:15 - INFO  - 88 https://www.amazon.com/Solutions-Organic-Moisturizing-Multi-Purpose-4-Ounce/dp/B0019LTGOU/
2024-01-29 20:33:23 - INFO  - Ingredients section found...
2024-01-29 20:33:27 - INFO  - Ingredients added to excel file...
2024-01-29 20:33:28 - INFO  - 89 https://www.amazon.com/Burts-Bees-Natural-Moisturizing-Multipack/dp/B01MRH7MR4/
2024-01-29 20:33:33 - INFO  - Ingredients section found...
2024-01-29 20:33:35 - INFO  - Ingredients added to excel file...
2024-01-29 20:33:35 - INFO  - 90 https://www.amazon.com/Sol-Janeiro-Brazilian-Bum-Cream/dp/B013XKHA4M/
2024-01-29 20:33:39 - INFO  - 91 https://www.amazon.com/Foot-Peel-Callus-Mask-Dry/dp/B078WCTVV9/
2024-01-29 20:33:44 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:33:44 - INFO  - 92 https://www.amazon.com/Gillette-Razor-Blade-Refills-Count/dp/B07D64B9RL/
2024-01-29 20:33:48 - INFO  - Ingredients section found...
2024-01-29 20:33:51 - INFO  - Ingredients added to excel file...
2024-01-29 20:33:51 - INFO  - 93 https://www.amazon.com/Maybelline-SuperStay-Long-lasting-Pigmented-Exhilarator/dp/B08H4FSGDX/
2024-01-29 20:33:56 - INFO  - Ingredients section found...
2024-01-29 20:33:59 - INFO  - Ingredients added to excel file...
2024-01-29 20:33:59 - INFO  - 94 https://www.amazon.com/Seraphic-Skincare-Exfoliating-Microdermabrasion-Keratosis/dp/B08YN28CS4/
2024-01-29 20:34:04 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:34:04 - INFO  - 95 https://www.amazon.com/Amazon-Basics-Cotton-Balls-200ct/dp/B09497R2CN/
2024-01-29 20:34:08 - INFO  - Ingredients section found...
2024-01-29 20:34:11 - INFO  - Ingredients added to excel file...
2024-01-29 20:34:11 - INFO  - 96 https://www.amazon.com/Peter-Thomas-Roth-Instant-FIRMx/dp/B004P2LL2K/
2024-01-29 20:34:15 - INFO  - 97 https://www.amazon.com/ELEMIS-Pro-Collagen-Cleansing-Super-Treatment/dp/B00CFHYYIA/
2024-01-29 20:34:19 - INFO  - 98 https://www.amazon.com/Amazon-Basics-Antibacterial-Moisturizing-Triclosan-Free/dp/B09HHBP46X/
2024-01-29 20:34:23 - INFO  - Ingredients section found...
2024-01-29 20:34:26 - INFO  - Ingredients added to excel file...
2024-01-29 20:34:26 - INFO  - 99 https://www.amazon.com/Colgate-Advanced-Floss-Tip-Vibrating-Toothbrush/dp/B0787G4D3Q/
2024-01-29 20:34:31 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:34:31 - INFO  - 100 https://www.amazon.com/Dr-Scholls-Cracked-Moisturizes-Healthy/dp/B08YZBBVGK/
2024-01-29 20:34:35 - INFO  - Ingredients section found...
2024-01-29 20:34:38 - INFO  - Ingredients added to excel file...
2024-01-29 20:34:38 - INFO  - 101 https://www.amazon.com/Waterpik-Cordless-Rechargeable-Portable-Flossing/dp/B09C2QZQFQ/
2024-01-29 20:34:43 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:34:43 - INFO  - 102 https://www.amazon.com/Nimbus%C2%AE-Microfine%C2%AE-Toothbrush-REGULAR-Colors/dp/B005LB75NI/
2024-01-29 20:34:48 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:34:48 - INFO  - 103 https://www.amazon.com/U-D-Nighter-Makeup-Setting-Spray/dp/B06Y92B94V/
2024-01-29 20:34:52 - INFO  - 104 https://www.amazon.com/RoC-Correxion-Anti-Aging-Oil-Free-Non-Comedogenic/dp/B00027DMI8/
2024-01-29 20:34:58 - INFO  - Ingredients section found...
2024-01-29 20:35:01 - INFO  - Ingredients added to excel file...
2024-01-29 20:35:01 - INFO  - 105 https://www.amazon.com/Dr-Teals-Epsom-Soothe-Comfort/dp/B08SCT3Q1G/
2024-01-29 20:35:05 - INFO  - Ingredients section found...
2024-01-29 20:35:08 - INFO  - Ingredients added to excel file...
2024-01-29 20:35:08 - INFO  - 106 https://www.amazon.com/NYX-PROFESSIONAL-MAKEUP-Pencil-Eyebrow/dp/B00WZRJSPY/
2024-01-29 20:35:13 - INFO  - Ingredients section found...
2024-01-29 20:35:16 - INFO  - Ingredients added to excel file...
2024-01-29 20:35:16 - INFO  - 107 https://www.amazon.com/Marvis-Whitening-Mint-Toothpaste-3-8/dp/B000MEKG30/
2024-01-29 20:35:20 - INFO  - 108 https://www.amazon.com/Goody-Womens-Hair-Bobby-Pin/dp/B00E9SP888/
2024-01-29 20:35:25 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:35:25 - INFO  - 109 https://www.amazon.com/Conair-1875-Mid-Size-Dryer-Black/dp/B00GUAEERO/
2024-01-29 20:35:30 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:35:30 - INFO  - 110 https://www.amazon.com/Kitsch-Strengthening-Conditioner-Water-Protein/dp/B09F9ZDS6Z/
2024-01-29 20:35:35 - INFO  - Ingredients section found...
2024-01-29 20:35:38 - INFO  - Ingredients added to excel file...
2024-01-29 20:35:38 - INFO  - 111 https://www.amazon.com/Beautify-Beauties-Flairosol-Empty-Bottle/dp/B07N7RLM7V/
2024-01-29 20:35:43 - INFO  - There is no Ingredient section for this product...
